109 8  8
Station_Location: N-S
 -405000  378000  174000   90000   42000   30000  -18000
 -102000  -90000 -102000 -162000 -174000 -234000 -234000
 -306000 -306000 -378000 -378000   54000   30000   18000
   54000  -18000  -30000  -30000  -30000  -30000  -30000
  -30000  -18000  -90000  -90000 -102000  -90000 -102000
 -114000 -102000 -162000 -162000 -198000 -162000 -186000
 -162000 -186000 -174000 -234000 -234000 -258000 -258000
 -258000 -246000 -246000 -246000 -294000 -294000 -318000
 -330000 -318000 -306000 -318000 -318000 -318000 -366000
 -366000 -378000 -390000 -390000 -390000 -378000 -390000
  -90000  354000  390000  378000  294000  294000  294000
  330000  330000  330000  306000  246000  258000  258000
  258000  246000  246000  246000  246000  186000  174000
  198000  198000  186000  186000  186000  174000  126000
  114000  114000  114000  102000  114000  102000  114000
   42000   30000   30000   42000
Station_Location: E-W
 -354000  270000  282000  294000  294000  366000  294000
  258000  318000  405000  246000  318000  258000  330000
  246000  330000  282000  342000 -270000  102000  162000
  210000 -258000 -198000 -102000  -54000   30000   78000
  174000  222000 -318000 -174000 -102000  -30000   30000
  102000  174000 -306000 -270000 -198000 -114000  -18000
   42000  114000  174000 -294000 -246000 -162000 -102000
   -6000   54000  126000  174000 -381000 -282000 -222000
 -150000  -78000  -30000   54000  126000  186000 -306000
 -222000 -162000  -90000  -18000   54000  138000  198000
 -258000 -198000 -150000  186000 -318000 -258000 -150000
 -102000  -18000   42000  198000 -318000 -210000 -126000
  -42000    6000   66000  138000  210000 -306000 -210000
 -150000  -66000    6000   78000  150000  210000 -282000
 -198000 -138000  -66000    6000   66000  150000  222000
 -186000 -114000  -54000    6000
DATA_Period:   102.4000
 -4.7724E-005  1.1372E-004  8.8226E-005 -2.4033E-004 -9.1912E-005  2.4045E-004  1.1207E-004 -3.1068E-004
  1.3451E-004  5.0212E-004  1.5214E-003 -3.5292E-003 -4.5586E-004  1.9620E-003  1.4213E-004 -5.0385E-004
  2.1193E-004  2.6485E-006  1.4261E-003 -3.8079E-003 -7.2024E-004  3.0100E-003 -1.5301E-004  1.2738E-004
  1.2232E-004  1.3255E-004  1.5620E-003 -3.7002E-003 -9.2708E-004  2.9003E-003 -1.5034E-004  1.0869E-004
 -3.9978E-004  1.4883E-004  4.6980E-004 -5.9569E-004 -1.3871E-003  7.5519E-004 -7.6479E-005 -1.4173E-005
  4.0061E-004  1.5086E-004  1.1852E-003 -1.0539E-003 -1.4869E-003  6.5744E-004 -2.1663E-004 -2.7510E-005
  5.2750E-005  3.3645E-005  6.7168E-004 -1.0243E-003 -1.1444E-003  1.0623E-003  1.3206E-004 -3.7105E-004
 -2.7117E-004  4.9496E-004  6.3695E-004 -1.3382E-003 -3.4572E-004  5.9941E-004  1.9623E-004 -3.9886E-004
 -5.8082E-004  4.1368E-004  3.1073E-004 -3.4075E-004 -1.4085E-003  1.0046E-003  6.7001E-004 -7.2474E-004
 -6.7577E-004  3.8341E-004  9.3199E-004 -1.2740E-003 -2.3419E-003  1.4861E-003  2.0428E-004 -1.2977E-004
  2.9230E-005 -2.9833E-005  1.9202E-004 -2.2674E-004 -6.2469E-004  4.0404E-004  1.8289E-004 -2.5418E-005
 -4.3409E-004  8.9852E-005  1.1817E-003 -6.7924E-004 -1.1014E-003  5.9739E-004  4.3245E-004 -7.3219E-005
  7.6419E-005  7.5638E-005  1.2632E-003 -7.1711E-004 -1.0174E-003  7.1857E-004  2.5323E-004 -1.8551E-004
  1.4670E-003 -9.8659E-004  2.8876E-003 -3.0228E-003 -2.3423E-003  2.2460E-003 -2.2824E-003  1.9258E-003
  2.8292E-004  6.3291E-005  7.3851E-004 -1.4616E-003 -6.8825E-004  9.7005E-004 -2.1282E-004 -9.7047E-005
  4.6376E-004 -6.4427E-004  6.0591E-004 -1.1975E-003 -9.0665E-004  1.7748E-003 -7.4290E-004  1.1316E-003
 -5.6076E-005  2.6421E-005  4.5456E-004 -3.1826E-004 -6.0473E-004  2.6038E-004  4.6842E-005 -3.0746E-005
  5.3507E-004 -6.2843E-004  4.4247E-004 -7.9592E-004 -5.4618E-003  6.1506E-003 -1.7440E-003  2.9685E-003
 -3.6911E-004  1.9332E-004  7.3504E-004 -8.3850E-004 -1.2383E-003  1.1705E-003  4.0303E-004  2.3344E-004
  9.5911E-005 -2.2199E-004  1.9447E-003 -1.5894E-003 -1.5252E-003  1.9194E-003 -4.1739E-004  1.1453E-004
  3.9008E-004 -8.9571E-005  1.9220E-003 -1.6072E-003 -1.8053E-004  3.4553E-004 -1.1357E-004  4.0702E-005
  9.8819E-005 -1.2637E-004  1.9627E-004 -5.0929E-004 -8.4506E-004  1.1297E-003 -1.8059E-004  1.1565E-004
  2.8078E-005 -5.8698E-005  7.3776E-005 -2.9586E-004 -2.9287E-004  4.9158E-004 -4.7776E-005  1.2795E-004
  4.4277E-005  1.0406E-005  4.6617E-004 -4.7004E-004 -8.1838E-004  3.9830E-004 -2.6375E-005  4.5354E-005
 -2.5728E-003  1.9938E-003  1.1505E-002 -1.0968E-002 -1.6768E-003  1.3384E-003  2.5786E-003 -2.2809E-003
  5.9404E-004 -3.5250E-004  1.2836E-003 -2.6685E-003 -4.3066E-003  4.7498E-003 -8.8870E-004  9.8051E-004
  1.2543E-004 -2.7529E-004  1.3683E-003 -1.2870E-003 -6.5561E-004  1.0605E-003 -1.1677E-004  1.5054E-004
 -7.9332E-005 -2.5436E-004  1.0872E-003 -1.3478E-003 -5.9676E-004  1.4664E-003 -4.4836E-004  6.6064E-004
  7.1070E-004 -1.2100E-003  8.1771E-004 -1.8060E-003 -1.7083E-003  3.6149E-003 -6.7942E-004  1.2776E-003
  1.4750E-004 -1.5323E-004  7.4923E-004 -1.1567E-003 -8.1848E-004  1.1487E-003 -9.9698E-005  2.2710E-004
 -3.2721E-004  2.7711E-004  8.3015E-004 -1.7532E-003 -1.4531E-003  1.8699E-003  8.9901E-005 -1.3037E-004
  1.0758E-004  1.5871E-004  1.5526E-003 -1.5284E-003 -1.1728E-003  8.7763E-004  7.9095E-005 -1.1304E-004
  2.3918E-003 -1.7046E-003  3.2091E-003 -4.2772E-003 -1.7934E-003  1.7693E-003 -1.3327E-003  1.6819E-003
 -2.5385E-004  3.3183E-004  1.2893E-003 -1.4486E-003 -1.0182E-003  1.6820E-003  4.8187E-004 -4.3786E-004
